song_id,peak_position,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
3T6Lsd2qR4nk92hwxJ5sBW,60,0.769,0.541,0.441,0.0,0.509,-9.692,0.061,0.499,144.03
2FY7b99s15jUprqC0M5NCT,88,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,0.22,100.0
2MShy1GSSgbmGUxADNIao5,55,0.0996,0.91,0.366,0.0,0.261,-9.954,0.0941,0.74,119.985
75nEUfYzeskPFRBQk5BvCg,54,0.567,0.877,0.477,0.0,0.114,-5.391,0.0623,0.688,95.024
4so0Wek9Ig1p6CRCHuINwW,89,0.673,0.317,0.158,0.353,0.338,-16.485,0.0381,0.247,130.503
3wScL5W8H40zzCKN0atfBk,94,0.0595,0.743,0.87,0.0,0.299,-2.188,0.212,0.884,99.075
46pF1zFimM582ss1PrMy68,51,0.392,0.343,0.76,0.000388,0.0773,-7.146,0.0513,0.356,126.322
698eQRku24PIYPQPHItKlA,67,0.0292,0.533,0.907,0.0,0.386,-3.793,0.0406,0.7,150.99
4CH66Rxcjcj3VBHwmIBj4T,85,0.0643,0.78,0.492,0.0313,0.174,-3.4,0.0671,0.374,143.983
1G4cdOtF36ZCs6i2dZoC87,48,0.199,0.499,0.797,0.0,0.0933,-3.77,0.0554,0.408,176.024
3VamXAvVMczcS2PTYtPfBQ,55,0.75,0.629,0.464,0.0,0.0853,-8.72,0.0334,0.523,156.051
6Up545NUflOiXo8cEraH49,57,0.682,0.486,0.632,0.0,0.0869,-6.89,0.0344,0.0791,147.892
5wujBwqG7INdStqGd4tRMX,57,0.186,0.736,0.67,0.0,0.114,-6.702,0.311,0.845,130.032
3EPXxR3ImUwfayaurPi3cm,38,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,0.443,126.684
3pJkBPHadRAxBBo484RipI,34,0.0147,0.707,0.531,2.11e-06,0.175,-7.014,0.0273,0.417,106.992
7sTtHHrD0zDpmzQzH3zegz,32,0.889,0.455,0.292,0.0,0.106,-6.792,0.0563,0.43,84.339
577YBGuskWkVDCxZrLRB4v,55,0.00127,0.964,0.487,6.57e-06,0.115,-6.071,0.421,0.107,127.05
2GHO21NrpLapnnfx5z2UL6,30,0.0338,0.543,0.868,0.000289,0.19,-4.69,0.0354,0.433,144.07
5HnXcJJbNXQQ7tRlQ9VN1v,29,0.16,0.711,0.696,0.0,0.17,-5.05,0.0871,0.694,80.512
6Gg25EZRbQd4IHiJz2KSY0,27,0.0369,0.814,0.667,0.0,0.11,-4.785,0.36,0.376,80.031
01jIO8SJFnpSiNLH1JaBZ5,26,0.413,0.735,0.453,0.0,0.104,-8.264,0.0602,0.335,115.002
43zdsphuZLzwA9k4DJhU0I,49,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,0.198,82.642
6viHvc13l9A6Ua6xugpeX6,23,0.00204,0.487,0.859,0.0,0.322,-4.403,0.0488,0.377,148.037
7pdF27mSDuPWhppnHAmWHa,64,0.653,0.735,0.525,0.918,0.101,-2.939,0.0441,0.369,160.147
2rxQMGVafnNaRaXlRMWPde,43,0.676,0.552,0.402,0.0,0.0928,-7.431,0.0262,0.382,103.313
5274I4mUMnYczyeXkGDWZN,75,0.0484,0.656,0.542,0.0,0.126,-7.358,0.323,0.551,166.111
34DFpyq5NJJ79GnGbbJH3p,17,0.254,0.557,0.511,0.0,0.099,-6.788,0.0291,0.602,156.042
25sgk305KZfyuqVBQIahim,14,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,0.628,133.002
05t7JMip6JrLuSrMV5yYjX,10,0.282,0.556,0.481,0.0,0.216,-7.663,0.313,0.581,149.025
